,season_x,player,age,team_id,pos,g,gs,mp_per_g,fga_per_g,fg_pct,fg3a_per_g,fg3_pct,fg2a_per_g,fg2_pct,efg_pct,fta_per_g,ft_pct,orb_per_g,drb_per_g,tr_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,season_y,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,mov,mov_adj,win_loss_pct
4704,2023,Caleb Martin,27,MIA,SF,71,49,29.3,7.7,.464,3.3,.356,4.4,.545,.540,1.6,.805,1.2,3.6,4.8,1.6,1.0,0.4,1.1,2.0,9.6,2023,2077,11.4,.571,.431,.206,4.8,15.0,9.7,8.2,1.7,1.5,11.5,14.4,1.2,2.5,3.7,.086,-1.8,0.5,-1.2,0.4,-0.32,-0.14,0.5365853658536586
4744,2024,R.J. Hampton,22,MIA,PG,8,2,9.5,1.8,.286,1.0,.125,0.8,.500,.321,0.3,.500,0.3,0.5,0.8,1.0,0.0,0.0,0.4,1.0,1.3,2023,750,10.8,.558,.489,.321,2.6,10.5,6.5,10.4,1.7,1.1,13.4,17.8,0.1,0.5,0.7,.042,-2.3,-0.6,-2.9,-0.2,-0.32,-0.14,0.5365853658536586
4752,2023,Duncan Robinson,28,MIA,SF,42,1,16.5,5.6,.371,4.6,.328,1.1,.556,.504,0.8,.906,0.2,1.5,1.6,1.1,0.3,0.0,0.7,1.8,6.4,2023,691,7.8,.534,.810,.135,1.3,10.7,5.9,9.7,1.0,0.0,10.0,17.9,-0.1,0.6,0.5,.035,-3.5,-1.5,-5.0,-0.5,-0.32,-0.14,0.5365853658536586
4768,2023,Nikola Jović,19,MIA,PF,15,8,13.6,4.6,.406,2.3,.229,2.3,.588,.464,1.3,.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5,2023,204,10.6,.530,.507,.275,5.0,13.1,8.9,7.3,1.7,1.0,11.4,19.0,0.0,0.2,0.2,.053,-3.4,0.0,-3.4,-0.1,-0.32,-0.14,0.5365853658536586
4776,2023,Jamal Cain,23,MIA,PF,18,0,13.3,3.7,.561,1.1,.350,2.6,.652,.614,1.2,.773,0.8,2.1,2.9,0.7,0.6,0.1,0.3,1.2,5.4,2023,240,16.5,.647,.303,.333,7.1,18.7,12.7,7.6,2.3,0.4,7.3,15.1,0.5,0.3,0.8,.169,-0.5,1.3,0.8,0.2,-0.32,-0.14,0.5365853658536586
4790,2023,Haywood Highsmith,26,MIA,PF,54,11,17.9,4.0,.431,2.0,.339,2.0,.523,.516,0.5,.464,1.1,2.4,3.5,0.8,0.7,0.3,0.8,1.5,4.4,2023,969,8.5,.517,.505,.130,6.7,16.4,11.4,6.2,1.9,1.8,16.5,12.5,-0.3,1.3,0.9,.046,-3.7,0.7,-3.1,-0.3,-0.32,-0.14,0.5365853658536586
4802,2023,Udonis Haslem,42,MIA,C,7,1,10.1,4.1,.345,1.3,.333,2.9,.350,.397,0.7,.800,0.6,1.0,1.6,0.0,0.1,0.3,0.1,1.6,3.9,2023,71,6.2,.433,.310,.172,6.4,12.0,9.1,0.0,0.7,2.9,3.1,20.1,-0.1,0.1,0.0,-0.009,-8.2,-3.9,-12.1,-0.2,-0.32,-0.14,0.5365853658536586
4804,2023,Orlando Robinson,22,MIA,C,31,1,13.7,2.9,.528,0.2,.000,2.7,.566,.528,1.0,.710,1.5,2.5,4.1,0.8,0.4,0.4,0.5,1.7,3.7,2023,425,13.4,.565,.067,.348,12.8,22.3,17.4,8.4,1.4,2.9,13.5,12.4,0.5,0.6,1.1,.129,-2.7,0.7,-2.1,0.0,-0.32,-0.14,0.5365853658536586
4824,2023,Dru Smith,25,MIA,SG,5,1,13.4,2.8,.357,1.2,.167,1.6,.500,.393,0.0,,0.2,1.6,1.8,1.0,0.8,0.6,0.2,2.0,2.2,2023,158,11.4,.475,.422,.067,1.4,15.9,8.7,19.3,3.1,2.5,6.1,13.8,0.1,0.3,0.3,.099,-3.8,2.9,-0.9,0.0,-0.32,-0.14,0.5365853658536586
4844,2024,Alondes Williams,24,MIA,SG,7,0,2.3,1.1,.250,0.6,.000,0.6,.500,.250,0.1,1.000,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.3,0.7,2023,5,-20.9,,,,0.0,22.0,11.2,0.0,0.0,0.0,100.0,17.7,-0.1,0.0,-0.1,-0.517,-21.3,-5.2,-26.5,0.0,-0.32,-0.14,0.5365853658536586
4848,2024,Jaime Jaquez Jr.,22,MIA,SF,75,20,28.2,9.3,.489,2.7,.322,6.6,.558,.536,2.3,.811,1.1,2.7,3.8,2.6,1.0,0.3,1.5,2.2,11.9,2024,2113,12.9,.574,.290,.251,4.4,11.0,7.6,13.9,1.8,0.9,12.4,18.7,1.4,2.7,4.0,.092,-2.2,0.3,-1.9,0.1,-0.32,-0.14,0.5365853658536586
4850,2023,Jalen Green,20,HOU,SG,76,76,34.2,17.9,.416,7.3,.338,10.6,.471,.485,6.1,.786,0.6,3.2,3.7,3.7,0.8,0.2,2.6,1.7,22.1,2023,2602,14.5,.538,.408,.341,1.8,10.3,6.0,17.3,1.1,0.7,11.3,28.1,1.4,0.5,1.8,.034,0.5,-2.6,-2.1,0.0,-7.85,-7.609999999999999,0.2682926829268293
4862,2023,Kevin Porter Jr.,22,HOU,PG,59,59,34.3,15.0,.442,6.5,.366,8.5,.501,.522,4.5,.784,1.3,4.0,5.3,5.7,1.4,0.3,3.2,2.6,19.2,2023,2024,16.2,.565,.436,.299,4.1,13.1,8.5,25.7,2.0,0.8,15.8,24.3,1.9,1.0,2.9,.068,1.4,-0.8,0.6,1.3,-7.85,-7.609999999999999,0.2682926829268293
4864,2023,Alperen Sengun,20,HOU,C,75,72,28.9,10.7,.553,0.8,.333,9.9,.570,.565,3.8,.715,3.2,5.8,9.0,3.9,0.9,0.9,2.6,3.4,14.8,2023,2171,19.7,.599,.071,.360,12.1,22.3,17.1,21.0,1.6,3.2,17.3,21.4,3.4,1.8,5.2,.115,1.1,0.4,1.4,1.9,-7.85,-7.609999999999999,0.2682926829268293
4876,2023,Jabari Smith Jr.,19,HOU,PF,79,79,31.0,11.3,.408,4.9,.307,6.3,.487,.475,2.6,.786,1.5,5.7,7.2,1.3,0.5,0.9,1.3,2.9,12.8,2023,2451,11.2,.514,.438,.231,5.4,20.3,12.7,5.9,0.9,3.0,9.6,18.4,0.5,1.4,1.9,.037,-2.3,-1.3,-3.7,-1.1,-7.85,-7.609999999999999,0.2682926829268293
4904,2023,Tari Eason,21,HOU,PF,82,5,21.5,8.0,.448,2.1,.343,6.0,.486,.493,1.8,.752,2.4,3.7,6.0,1.1,1.2,0.6,1.2,2.3,9.3,2023,1767,15.2,.525,.261,.220,12.0,18.9,15.4,7.4,2.6,2.6,12.2,19.3,0.9,1.7,2.6,.070,-1.3,-0.4,-1.7,0.1,-7.85,-7.609999999999999,0.2682926829268293
4912,2023,Jae'Sean Tate,27,HOU,SF,31,7,21.8,7.4,.480,1.5,.283,5.9,.530,.509,2.2,.725,1.3,2.5,3.8,2.7,0.7,0.2,1.5,3.4,9.1,2023,677,12.2,.546,.201,.301,6.6,12.6,9.6,18.2,1.5,1.0,15.3,18.8,0.4,0.3,0.7,.049,-2.8,-0.7,-3.5,-0.3,-7.85,-7.609999999999999,0.2682926829268293
4928,2024,Jock Landale,28,HOU,C,56,3,13.6,3.7,.515,0.7,.250,3.0,.578,.539,1.2,.800,1.6,1.5,3.1,1.2,0.4,0.6,0.6,1.3,4.9,2023,979,16.4,.595,.249,.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,.132,-0.7,-0.4,-1.1,0.2,-7.85,-7.609999999999999,0.2682926829268293
4932,2023,Josh Christopher,21,HOU,SG,64,2,12.3,5.1,.465,1.4,.236,3.8,.550,.497,0.9,.750,0.3,0.8,1.1,1.1,0.5,0.2,0.9,0.9,5.8,2023,786,11.5,.523,.271,.182,2.8,7.2,5.0,14.3,2.0,1.9,14.4,21.9,-0.3,0.3,0.0,-0.001,-3.0,-1.4,-4.3,-0.5,-7.85,-7.609999999999999,0.2682926829268293
4962,2023,Darius Days,23,HOU,SF,4,0,6.3,3.0,.417,2.5,.300,0.5,1.000,.542,0.5,1.000,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8,2023,25,18.3,.582,.833,.167,4.3,22.2,13.2,6.2,0.0,3.9,0.0,21.4,0.1,0.0,0.1,.156,4.7,-1.2,3.5,0.0,-7.85,-7.609999999999999,0.2682926829268293
4964,2023,Boban Marjanović,34,HOU,C,31,0,5.5,1.9,.683,0.0,.000,1.9,.695,.683,0.9,.741,0.6,1.3,1.9,0.3,0.2,0.1,0.5,0.3,3.3,2023,171,23.4,.710,.017,.450,12.7,26.0,19.3,8.7,1.4,1.1,16.3,20.8,0.4,0.1,0.6,.158,3.0,-1.5,1.6,0.2,-7.85,-7.609999999999999,0.2682926829268293
4982,2023,Trevor Hudgins,23,HOU,PG,5,0,5.6,1.8,.222,1.6,.250,0.2,.000,.333,0.6,1.000,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.8,2023,28,4.2,.436,.889,.333,0.0,0.0,0.0,13.9,0.0,0.0,8.8,16.8,0.0,0.0,0.0,-0.035,-3.8,-4.7,-8.4,0.0,-7.85,-7.609999999999999,0.2682926829268293
4984,2024,Cam Whitmore,19,HOU,SF,47,2,18.7,9.9,.454,4.7,.359,5.3,.538,.539,2.4,.679,0.9,2.9,3.8,0.7,0.6,0.4,1.0,1.4,12.3,2024,880,16.6,.561,.471,.240,5.3,16.7,11.0,6.0,1.7,1.8,8.2,27.1,0.4,1.1,1.5,.082,1.0,-0.9,0.1,0.5,-7.85,-7.609999999999999,0.2682926829268293
4986,2024,Amen Thompson,21,HOU,SF,62,23,22.4,7.2,.536,0.9,.138,6.3,.595,.545,2.5,.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3,9.5,2024,1388,18.2,.576,.130,.348,11.3,20.4,15.8,17.0,2.7,2.5,14.9,18.5,1.9,2.4,4.3,.149,-0.1,1.9,1.8,1.3,-7.85,-7.609999999999999,0.2682926829268293
4988,2024,Nate Hinton,24,HOU,SG,15,0,5.0,1.7,.423,0.9,.500,0.8,.333,.558,0.3,.800,0.5,1.0,1.5,0.7,0.2,0.1,0.2,0.7,2.2,2024,75,17.6,.585,.538,.192,9.9,21.7,15.7,18.6,1.9,2.5,9.6,17.7,0.2,0.1,0.3,.187,1.9,1.7,3.6,0.1,-7.85,-7.609999999999999,0.2682926829268293
4990,2024,Jermaine Samuels,25,HOU,SF,14,0,4.3,1.0,.643,0.1,.000,0.9,.750,.643,0.1,1.000,0.2,0.7,0.9,0.2,0.1,0.1,0.0,0.4,1.4,2024,60,15.1,.672,.143,.143,5.3,18.1,11.6,7.0,0.8,3.1,0.0,10.5,0.1,0.1,0.2,.178,-0.3,1.1,0.8,0.0,-7.85,-7.609999999999999,0.2682926829268293
4992,2023,Keldon Johnson,23,SAS,SF,63,63,32.7,17.7,.452,6.5,.329,11.2,.523,.512,5.2,.749,0.9,4.2,5.0,2.9,0.7,0.2,2.1,2.0,22.0,2023,2063,15.3,.551,.366,.294,2.9,14.4,8.4,13.7,1.1,0.4,9.6,27.9,0.7,0.5,1.3,.030,0.7,-2.5,-1.8,0.1,-10.04,-9.819999999999999,0.2682926829268293
5000,2023,Devin Vassell,22,SAS,SG,38,32,31.0,15.7,.439,7.0,.387,8.7,.480,.525,2.6,.780,0.2,3.7,3.9,3.6,1.1,0.4,1.5,1.5,18.5,2023,1178,15.5,.550,.447,.168,0.7,13.5,6.9,17.3,1.7,1.2,8.2,24.4,0.7,0.5,1.2,.051,1.3,-0.9,0.4,0.7,-10.04,-9.819999999999999,0.2682926829268293
5008,2024,RaiQuan Gray,24,SAS,PF,3,0,13.0,5.7,.588,2.3,.429,3.3,.700,.676,0.0,,0.7,1.7,2.3,2.0,0.3,0.3,0.3,0.0,7.7,2023,35,15.5,.621,.417,.167,9.9,18.8,14.4,29.0,0.0,2.4,23.7,21.4,0.0,0.0,0.1,.106,-0.6,-1.4,-2.0,0.0,-10.04,-9.819999999999999,0.2682926829268293
5012,2023,Tre Jones,23,SAS,PG,68,65,29.2,10.9,.459,2.3,.285,8.6,.506,.489,2.5,.860,0.8,2.8,3.6,6.6,1.3,0.1,1.6,1.4,12.9,2023,1984,16.0,.534,.213,.231,3.0,10.8,6.7,31.5,2.1,0.4,11.8,19.3,2.6,0.8,3.4,.082,-0.2,-0.8,-1.0,0.5,-10.04,-9.819999999999999,0.2682926829268293
5028,2023,Zach Collins,25,SAS,C,63,26,22.9,8.7,.518,2.3,.374,6.4,.571,.568,2.3,.761,1.8,4.5,6.4,2.9,0.6,0.8,2.0,3.2,11.6,2023,1441,16.4,.599,.268,.259,8.5,22.5,15.2,18.0,1.2,2.8,17.4,21.2,1.2,1.0,2.2,.074,-0.5,0.3,-0.2,0.6,-10.04,-9.819999999999999,0.2682926829268293
5036,2023,Jeremy Sochan,19,SAS,PF,56,53,26.0,9.9,.453,2.4,.246,7.5,.519,.483,2.1,.698,1.7,3.6,5.3,2.5,0.8,0.4,1.7,2.5,11.0,2023,1458,11.4,.509,.243,.210,6.9,15.6,11.0,13.6,1.4,1.3,13.9,19.8,-0.5,0.7,0.2,.005,-2.8,-1.2,-4.0,-0.7,-10.04,-9.819999999999999,0.2682926829268293
5044,2023,Malaki Branham,19,SAS,SG,66,32,23.5,9.3,.440,3.9,.302,5.4,.539,.503,1.1,.829,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2,2023,1550,9.5,.524,.417,.115,1.9,11.2,6.4,11.4,1.0,0.4,10.6,19.1,-0.4,0.2,-0.1,-0.004,-3.0,-2.1,-5.2,-1.3,-10.04,-9.819999999999999,0.2682926829268293
5092,2023,Keita Bates-Diop,27,SAS,PF,67,42,21.7,6.9,.508,2.1,.394,4.8,.557,.568,2.2,.793,1.0,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,2023,1452,14.9,.609,.305,.323,4.7,14.3,9.3,9.8,1.5,1.1,9.5,16.7,2.1,0.6,2.7,.089,0.3,-0.9,-0.6,0.5,-10.04,-9.819999999999999,0.2682926829268293
5124,2023,Romeo Langford,23,SAS,SG,43,21,19.6,6.0,.467,1.4,.262,4.6,.530,.498,1.3,.696,1.3,1.3,2.7,1.2,0.6,0.3,0.7,1.6,6.9,2023,844,10.4,.524,.236,.216,7.1,7.7,7.4,7.9,1.3,1.3,9.6,15.4,0.3,0.2,0.5,.029,-2.6,-1.5,-4.2,-0.5,-10.04,-9.819999999999999,0.2682926829268293
5142,2023,Stanley Johnson,26,SAS,SF,30,0,15.6,4.1,.533,1.3,.450,2.7,.573,.607,1.3,.667,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6,5.8,2023,469,13.5,.625,.328,.320,4.9,17.7,11.1,19.0,1.6,1.1,19.2,15.2,0.5,0.3,0.7,.076,-0.8,-0.2,-1.0,0.1,-10.04,-9.819999999999999,0.2682926829268293
5144,2023,Charles Bassey,22,SAS,C,35,2,14.5,3.9,.644,0.2,.375,3.6,.661,.656,1.1,.595,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,2023,508,18.8,.658,.059,.274,15.5,26.4,20.7,12.9,1.5,5.4,21.3,15.6,0.7,0.6,1.3,.122,-0.6,1.3,0.7,0.3,-10.04,-9.819999999999999,0.2682926829268293
5152,2023,Blake Wesley,19,SAS,SG,37,1,18.1,5.8,.321,1.4,.385,4.4,.301,.367,1.2,.591,0.3,1.9,2.2,2.7,0.7,0.1,1.8,1.8,5.0,2023,669,3.5,.393,.242,.205,1.7,11.9,6.6,18.8,1.8,0.6,21.7,18.5,-1.9,0.3,-1.6,-0.114,-7.9,-1.8,-9.6,-1.3,-10.04,-9.819999999999999,0.2682926829268293
5160,2023,Isaiah Roby,24,SAS,PF,42,2,11.3,3.7,.432,1.4,.300,2.3,.516,.490,1.0,.488,0.5,2.0,2.5,0.9,0.4,0.2,0.7,1.3,4.1,2023,474,9.3,.497,.387,.265,4.7,20.6,12.3,10.7,1.8,1.2,15.2,17.8,-0.4,0.3,-0.1,-0.011,-4.0,-0.6,-4.6,-0.3,-10.04,-9.819999999999999,0.2682926829268293
5162,2023,Dominick Barlow,19,SAS,PF,28,0,14.6,3.1,.535,0.1,.000,2.9,.561,.535,0.9,.720,1.6,2.0,3.6,0.9,0.4,0.7,0.5,2.0,3.9,2023,408,12.4,.567,.047,.291,11.9,15.6,13.7,7.6,1.2,3.8,13.4,11.3,0.5,0.2,0.7,.082,-3.7,-0.9,-4.6,-0.3,-10.04,-9.819999999999999,0.2682926829268293
5170,2023,Gorgui Dieng,33,SAS,C,31,1,11.5,3.8,.385,2.4,.280,1.4,.571,.474,0.4,.769,0.9,2.6,3.5,1.7,0.1,0.5,1.0,1.8,3.9,2023,358,9.9,.493,.641,.111,7.9,25.4,16.3,19.4,0.5,3.2,20.7,17.9,-0.2,0.2,0.0,.001,-4.0,0.1,-3.9,-0.2,-10.04,-9.819999999999999,0.2682926829268293
5172,2024,David Duke Jr.,24,SAS,SG,4,0,12.8,4.5,.556,1.5,.500,3.0,.583,.639,0.8,1.000,0.5,2.0,2.5,1.3,0.5,0.0,0.8,1.0,6.5,2023,228,8.3,.497,.154,.218,5.5,8.7,7.1,13.1,2.1,0.4,17.4,20.1,-0.3,0.2,-0.1,-0.011,-6.3,-1.0,-7.3,-0.3,-10.04,-9.819999999999999,0.2682926829268293
5176,2023,Jordan Hall,21,SAS,SF,9,0,9.2,3.1,.321,1.7,.200,1.4,.462,.375,1.0,.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1,2023,83,5.5,.438,.536,.321,3.8,12.3,7.9,17.0,0.6,0.0,18.0,19.4,-0.1,0.0,-0.1,-0.077,-4.7,-2.9,-7.6,-0.1,-10.04,-9.819999999999999,0.2682926829268293
5198,2023,Alize Johnson,26,SAS,PF,4,0,7.5,1.5,.500,0.5,.000,1.0,.750,.500,0.5,.500,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,2023,30,4.3,.509,.333,.333,7.0,30.3,18.2,4.2,1.6,0.0,36.8,15.0,-0.1,0.0,-0.1,-0.099,-7.4,-1.7,-9.1,-0.1,-10.04,-9.819999999999999,0.2682926829268293
5200,2024,Victor Wembanyama,20,SAS,C,71,71,29.7,16.7,.465,5.5,.325,11.2,.534,.519,5.2,.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,2024,2106,23.1,.565,.332,.309,8.2,30.7,19.4,21.5,2.0,10.0,16.2,32.2,-0.7,4.4,3.7,.085,1.9,3.3,5.2,3.8,-10.04,-9.819999999999999,0.2682926829268293
5202,2024,Sidy Cissoko,19,SAS,SF,12,0,11.8,2.8,.485,1.0,.083,1.8,.714,.500,1.3,.800,0.7,1.2,1.8,0.8,0.6,0.3,0.3,1.5,3.8,2024,141,12.0,.568,.364,.455,6.1,10.8,8.4,9.4,2.4,1.8,7.0,12.7,0.2,0.1,0.3,.110,-4.0,1.4,-2.7,0.0,-10.04,-9.819999999999999,0.2682926829268293
5220,2023,Cade Cunningham,21,DET,PG,12,12,33.3,18.7,.415,5.1,.279,13.6,.466,.453,3.6,.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,2023,400,14.0,.492,.272,.192,3.2,17.7,10.3,30.7,1.2,1.5,13.8,30.0,-0.4,0.2,-0.1,-0.018,-0.1,-0.6,-0.7,0.1,-8.22,-7.73,0.2073170731707317
5228,2023,Jaden Ivey,20,DET,SG,74,73,31.1,13.3,.416,4.7,.343,8.6,.457,.477,4.8,.747,1.0,2.9,3.9,5.2,0.8,0.2,3.2,3.3,16.3,2023,2304,12.1,.528,.356,.362,3.4,10.7,6.9,26.2,1.3,0.7,17.2,25.4,-0.9,0.8,0.0,-0.001,-1.4,-1.9,-3.3,-0.7,-8.22,-7.73,0.2073170731707317
5284,2023,Isaiah Stewart,21,DET,C,50,47,28.3,8.8,.442,4.1,.327,4.7,.542,.518,3.0,.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,2023,1414,13.1,.560,.465,.338,8.7,23.3,15.8,7.3,0.7,2.1,11.8,17.3,1.1,0.9,2.0,.068,-1.0,-1.1,-2.1,0.0,-8.22,-7.73,0.2073170731707317
5300,2023,Killian Hayes,21,DET,PG,76,56,28.3,10.7,.377,3.8,.280,7.0,.429,.426,1.5,.821,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9,10.3,2023,2154,10.2,.455,.351,.137,1.4,10.2,5.7,32.3,2.3,1.1,16.7,20.5,-1.9,1.4,-0.5,-0.012,-3.3,-0.5,-3.8,-1.0,-8.22,-7.73,0.2073170731707317
5336,2023,Jalen Duren,19,DET,C,67,31,24.9,5.9,.648,0.0,.000,5.9,.652,.648,2.3,.611,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,2023,1670,17.3,.655,.005,.394,14.7,25.1,19.7,6.8,1.3,3.1,16.5,14.3,2.9,1.6,4.5,.129,-0.4,-0.4,-0.8,0.5,-8.22,-7.73,0.2073170731707317
5354,2024,Joe Harris,32,DET,SG,16,0,10.6,2.4,.359,1.9,.333,0.6,.444,.487,0.1,.500,0.2,0.6,0.8,0.6,0.2,0.1,0.3,1.2,2.4,2023,1527,10.6,.621,.757,.064,1.7,10.1,6.0,9.1,1.1,0.7,8.3,14.3,1.5,1.1,2.6,.083,-0.6,-0.6,-1.1,0.3,-8.22,-7.73,0.2073170731707317
5378,2023,Isaiah Livers,24,DET,PF,52,22,23.1,5.5,.417,3.9,.365,1.6,.541,.545,0.8,.821,0.5,2.2,2.8,0.8,0.5,0.5,0.6,2.0,6.7,2023,1199,8.4,.567,.705,.135,2.5,11.0,6.6,4.8,1.1,2.1,9.0,11.9,0.5,0.5,1.0,.041,-2.1,-0.3,-2.4,-0.1,-8.22,-7.73,0.2073170731707317
5440,2023,Rodney McGruder,31,DET,SG,32,12,16.4,4.8,.408,3.0,.423,1.7,.382,.543,0.7,.818,0.6,1.7,2.3,0.9,0.5,0.0,0.3,1.2,5.7,2023,524,10.7,.566,.638,.145,4.1,11.8,7.8,7.6,1.5,0.2,6.4,14.0,0.5,0.2,0.7,.068,-0.8,-0.7,-1.5,0.1,-8.22,-7.73,0.2073170731707317
5468,2023,Jared Rhoden,23,DET,SG,14,0,14.1,3.1,.386,1.4,.250,1.7,.500,.443,0.4,1.000,0.8,1.9,2.6,0.3,0.3,0.1,0.2,1.6,3.2,2023,198,6.5,.482,.455,.136,6.0,15.0,10.4,2.8,1.0,0.4,6.0,10.7,0.0,0.1,0.1,.027,-5.0,-1.1,-6.1,-0.2,-8.22,-7.73,0.2073170731707317
5476,2023,Nerlens Noel,28,DET,C,14,3,10.9,2.1,.400,0.1,.500,2.0,.393,.417,0.7,.700,0.5,2.1,2.6,0.5,0.9,0.6,0.6,1.8,2.3,2023,195,7.9,.424,.056,.333,5.6,21.0,13.1,6.7,4.0,4.5,23.9,12.0,-0.3,0.3,0.0,.007,-6.5,2.6,-3.8,-0.1,-8.22,-7.73,0.2073170731707317
5482,2023,Stanley Umude,23,DET,SG,1,0,2.0,1.0,.000,1.0,.000,0.0,,.000,2.0,1.000,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2023,2,65.6,.532,1.000,2.000,0.0,0.0,0.0,0.0,24.2,44.1,0.0,40.0,0.0,0.0,0.0,.626,15.9,32.7,48.6,0.0,-8.22,-7.73,0.2073170731707317
5490,2023,Buddy Boeheim,23,DET,SF,10,0,9.0,2.7,.185,2.5,.160,0.2,.500,.259,0.2,1.000,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.6,1.6,2023,90,0.5,.287,.926,.074,2.4,5.1,3.7,5.8,1.1,0.0,0.0,13.2,-0.2,0.0,-0.2,-0.091,-7.5,-2.0,-9.5,-0.2,-8.22,-7.73,0.2073170731707317
5502,2024,Ausar Thompson,21,DET,SF,63,38,25.1,7.6,.483,1.8,.186,5.8,.575,.505,1.9,.597,2.0,4.3,6.4,1.9,1.1,0.9,1.3,2.8,8.8,2024,1583,12.8,.522,.235,.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,.053,-2.8,0.6,-2.2,-0.1,-8.22,-7.73,0.2073170731707317
5504,2024,Marcus Sasser,23,DET,PG,71,11,19.0,7.2,.428,3.4,.375,3.8,.474,.516,0.9,.879,0.2,1.6,1.8,3.3,0.6,0.2,1.3,1.5,8.3,2024,1351,11.8,.542,.469,.129,0.9,9.6,5.2,25.4,1.6,0.8,14.3,19.9,0.3,0.6,0.9,.033,-1.5,-1.1,-2.6,-0.2,-8.22,-7.73,0.2073170731707317
5520,2024,Malcolm Cazalon,22,DET,SG,1,0,3.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.012,-6.0,-3.2,-9.1,0.0,-8.22,-7.73,0.2073170731707317
5522,2023,Paolo Banchero,20,ORL,PF,72,72,33.8,15.6,.427,4.0,.298,11.6,.471,.465,7.4,.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0,2023,2430,14.9,.529,.254,.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,-0.3,2.6,2.4,.047,-0.7,-0.7,-1.5,0.3,-2.56,-2.39,0.4146341463414634
5530,2023,Franz Wagner,21,ORL,SF,80,80,32.6,14.0,.485,4.5,.361,9.5,.544,.543,4.0,.842,0.9,3.2,4.1,3.5,1.0,0.2,2.1,2.3,18.6,2023,2609,15.9,.589,.322,.288,3.0,11.2,7.1,17.2,1.4,0.6,11.7,23.5,3.1,2.3,5.4,.099,0.4,-0.5,-0.1,1.3,-2.56,-2.39,0.4146341463414634
5538,2023,Wendell Carter Jr.,23,ORL,C,57,54,29.6,10.8,.525,3.9,.356,6.8,.624,.591,3.4,.738,2.1,6.6,8.7,2.3,0.5,0.6,1.9,2.8,15.2,2023,1690,17.3,.621,.367,.318,8.0,25.3,16.6,12.0,0.9,1.9,13.2,20.5,2.6,2.0,4.6,.130,0.9,0.1,1.0,1.3,-2.56,-2.39,0.4146341463414634
5546,2023,Markelle Fultz,24,ORL,PG,60,60,29.6,11.3,.514,1.5,.310,9.9,.544,.534,2.4,.783,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2,14.0,2023,1778,16.6,.564,.128,.211,4.4,10.5,7.4,29.8,2.4,1.4,15.8,21.3,1.7,2.0,3.7,.100,-0.1,0.7,0.5,1.2,-2.56,-2.39,0.4146341463414634
5554,2023,Cole Anthony,22,ORL,PG,60,4,25.9,10.2,.454,3.4,.364,6.7,.500,.516,2.8,.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,2023,1552,16.0,.570,.338,.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,2.1,1.7,3.7,.116,0.7,0.5,1.3,1.3,-2.56,-2.39,0.4146341463414634
5562,2023,Moritz Wagner,25,ORL,C,57,18,19.5,6.9,.500,2.9,.313,4.1,.631,.564,3.2,.841,1.2,3.3,4.5,1.5,0.6,0.2,1.2,2.4,10.5,2023,1109,17.4,.630,.412,.460,7.0,19.4,13.2,11.5,1.6,1.1,12.5,21.1,2.1,1.3,3.4,.149,0.4,0.2,0.6,0.7,-2.56,-2.39,0.4146341463414634
